time,battery,water,counter
2017-04-21 09:13:37,428,228,1
2017-04-21 09:13:41,543,212,2
2017-04-21 09:13:47,574,229,3
2017-04-21 09:13:51,455,236,4
2017-04-21 09:13:53,470,257,5
2017-04-21 09:13:55,400,315,6
2017-04-21 09:14:03,521,288,7
2017-04-21 09:14:06,545,215,8
2017-04-21 09:14:08,571,252,9
2017-04-21 09:14:10,511,270,10
2017-04-21 09:14:26,510,318,11
2017-04-21 09:14:28,512,342,12
2017-04-21 09:14:32,593,272,13
2017-04-21 09:14:34,450,254,14
2017-04-21 09:14:36,594,376,15
2017-04-21 09:14:40,460,333,16
2017-04-21 09:14:44,547,251,17
2017-04-21 09:14:48,578,357,18
2017-04-21 09:14:50,417,277,19
2017-04-21 09:14:54,463,268,20
2017-04-21 09:14:56,469,374,21
2017-04-21 09:14:58,550,220,22
2017-04-21 09:15:00,593,218,23
2017-04-21 09:15:04,517,220,24
2017-04-21 09:15:06,437,314,25
2017-04-21 09:15:08,598,204,26
2017-04-21 09:15:10,458,206,27
2017-04-21 09:15:12,498,236,28
2017-04-21 09:15:14,495,281,29
2017-04-21 09:15:20,416,211,30
2017-04-21 09:15:38,514,288,31
2017-04-21 09:15:40,519,237,32
2017-04-21 09:15:44,538,303,33
2017-04-21 09:15:52,458,249,34
